epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,194.179,0.5666,1.08276,0.81466,0.03851,1,0.89363,0.77019,0.53157,2.98435,0.78803,0.000179565,0.000179565,0.000179565
29,200.94,0.59365,1.28491,0.8517,0.03886,1,0.94034,0.83327,0.52488,2.9598,0.78768,0.000178293,0.000178293,0.000178293
30,207.652,0.56984,1.11581,0.81965,0.03886,1,0.94034,0.83327,0.52488,2.9598,0.78768,0.000176456,0.000176456,0.000176456
31,214.518,0.64915,1.09652,0.82028,0.03882,1,0.97185,0.88171,0.52341,2.93589,0.78735,0.000174052,0.000174052,0.000174052
32,222.687,0.58979,1.00815,0.82084,0.03882,1,0.97185,0.88171,0.52341,2.93589,0.78735,0.000171083,0.000171083,0.000171083
33,230.509,0.57416,0.96195,0.79831,0.03845,1,0.97885,0.88401,0.54072,2.91473,0.79026,0.000167547,0.000167547,0.000167547
34,238.152,0.58231,0.92114,0.82367,0.03845,1,0.97885,0.88401,0.54072,2.91473,0.79026,0.000163446,0.000163446,0.000163446
35,245.025,0.53669,0.98493,0.80543,0.03813,1,0.97787,0.87517,0.57429,2.89639,0.79589,0.000158779,0.000158779,0.000158779
36,251.744,0.61456,0.92521,0.81712,0.03813,1,0.97787,0.87517,0.57429,2.89639,0.79589,0.000153546,0.000153546,0.000153546
37,258.491,0.47491,0.96112,0.80938,0.03805,1,0.97654,0.87159,0.57721,2.86834,0.79734,0.000147747,0.000147747,0.000147747
38,264.954,0.53271,0.93636,0.81405,0.03805,1,0.97654,0.87159,0.57721,2.86834,0.79734,0.000141382,0.000141382,0.000141382
39,271.606,0.56238,0.84969,0.8036,0.03795,1,0.97552,0.87208,0.57519,2.82659,0.79958,0.000134452,0.000134452,0.000134452
40,278.365,0.60285,0.94228,0.83552,0.03795,1,0.97552,0.87208,0.57519,2.82659,0.79958,0.000126955,0.000126955,0.000126955
41,285.27,0.5202,0.96665,0.82732,0.03743,1,0.97867,0.88052,0.54654,2.78713,0.79697,0.000118893,0.000118893,0.000118893
42,291.776,0.5214,0.95866,0.84312,0.03743,1,0.97867,0.88052,0.54654,2.78713,0.79697,0.000110264,0.000110264,0.000110264
43,298.454,0.54627,0.91042,0.8165,0.03686,1,0.98848,0.88708,0.52819,2.74558,0.79344,0.00010107,0.00010107,0.00010107
